date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:17:54	48005/48005	---M-Z	200	added ('OK')	text/html	etag:%22bb85-64948000-49776df570f85a6f;gz%22	https://wpriverthemes.com/HTML/drake/index.html	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/index.html	(from )
17:17:55	114/114	---M-Z	200	added ('OK')	text/plain	date:Sun,%2001%20Dec%202024%2011:47:52%20GMT	https://wpriverthemes.com/robots.txt		(from )
17:17:56	2217/2217	---M--	200	added ('OK')	image/png	etag:%228a9-642a65bb-8251c30decb141b6;;;%22	https://wpriverthemes.com/HTML/drake/assets/images/favicon.png	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/images/favicon.png	(from https://wpriverthemes.com/HTML/drake/index.html)
17:17:57	107902/107902	---MCZ	200	added ('OK')	text/css	etag:W/%221a57e-m/ufJj2eAiPapDT36d69nG4R6Hc%22	https://maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	C:/My%20Web%20Sites/Portfolio/maxst.icons8.com/vue-static/landings/line-awesome/line-awesome/1.3.0/css/line-awesome.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:17:58	155800/155800	---M-Z	200	added ('OK')	text/css	etag:%2226098-642a65be-3407cdef459a16c2;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/bootstrap.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:17:59	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-642a65be-e4a3b3204e8335dd;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/owl.carousel.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:17:59	1013/1013	---M-Z	200	added ('OK')	text/css	etag:%223f5-642a65be-d928da69ffd89451;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/owl.theme.default.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:17:59	57095/57095	---M-Z	200	added ('OK')	text/css	etag:%22df07-642a65be-786cd9deae3d2cc;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/animate.min.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/animate.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:00	1717/1717	---M-Z	200	added ('OK')	text/css	etag:%226b5-642a65be-5d2c6524f60d5031;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/smooth-scrollbar.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:00	2532/2532	---M-Z	200	added ('OK')	text/css	etag:%229e4-642a65bf-51e06c439d951e6e;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/lightbox.min.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:01	43777/43777	---M-Z	200	added ('OK')	text/css	etag:%22ab01-649474dd-b810f33d968a8021;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/style.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/style.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:01	7983/7983	---M-Z	200	added ('OK')	text/css	etag:%221f2f-642a65be-c3a281bc9e0fbed8;gz%22	https://wpriverthemes.com/HTML/drake/assets/css/responsive.css	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/assets/css/responsive.css	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:01	48157/48157	---M-Z	200	added ('OK')	text/html	etag:%22bc1d-642a65b6-83b4e98ee981119f;gz%22	https://wpriverthemes.com/HTML/drake/home1.html	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/home1.html	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:02	48149/48149	---M-Z	200	added ('OK')	text/html	etag:%22bc15-642a65b7-809dbfebc9cf2486;gz%22	https://wpriverthemes.com/HTML/drake/home2.html	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/home2.html	(from https://wpriverthemes.com/HTML/drake/index.html)
17:18:02	48144/48144	---M-Z	200	added ('OK')	text/html	etag:%22bc10-642a65b6-e6cc45a1a4ec501e;gz%22	https://wpriverthemes.com/HTML/drake/home3.html	C:/My%20Web%20Sites/Portfolio/wpriverthemes.com/HTML/drake/home3.html	(from https://wpriverthemes.com/HTML/drake/index.html)
